date,year,month,soi
 1949m1,1949,1,-7
 1949m2,1949,2,2
 1949m3,1949,3,6
 1949m4,1949,4,1
 1949m5,1949,5,-6
 1949m6,1949,6,-12
 1949m7,1949,7,-2
 1949m8,1949,8,-4
 1949m9,1949,9,2
1949m10,1949,10,5
1949m11,1949,11,-6
1949m12,1949,12,8
 1950m1,1950,1,5
 1950m2,1950,2,18
 1950m3,1950,3,18
 1950m4,1950,4,17
 1950m5,1950,5,8
 1950m6,1950,6,27
 1950m7,1950,7,21
 1950m8,1950,8,12
 1950m9,1950,9,7
1950m10,1950,10,17
1950m11,1950,11,13
1950m12,1950,12,23
 1951m1,1951,1,17
 1951m2,1951,2,10
 1951m3,1951,3,-1
 1951m4,1951,4,-1
 1951m5,1951,5,-7
 1951m6,1951,6,5
 1951m7,1951,7,-8
 1951m8,1951,8,-1
 1951m9,1951,9,-7
1951m10,1951,10,-8
1951m11,1951,11,-3
1951m12,1951,12,-3
 1952m1,1952,1,-9
 1952m2,1952,2,-8
 1952m3,1952,3,0
 1952m4,1952,4,-9
 1952m5,1952,5,6
 1952m6,1952,6,7
 1952m7,1952,7,4
 1952m8,1952,8,-4
 1952m9,1952,9,-3
1952m10,1952,10,2
1952m11,1952,11,-1
1952m12,1952,12,-13
 1953m1,1953,1,2
 1953m2,1953,2,-6
 1953m3,1953,3,-6
 1953m4,1953,4,-1
 1953m5,1953,5,-32
 1953m6,1953,6,-2
 1953m7,1953,7,-1
 1953m8,1953,8,-17
 1953m9,1953,9,-13
1953m10,1953,10,0
1953m11,1953,11,-2
1953m12,1953,12,-4
 1954m1,1954,1,6
 1954m2,1954,2,-4
 1954m3,1954,3,-1
 1954m4,1954,4,7
 1954m5,1954,5,4
 1954m6,1954,6,-2
 1954m7,1954,7,4
 1954m8,1954,8,10
 1954m9,1954,9,5
1954m10,1954,10,2
1954m11,1954,11,4
1954m12,1954,12,13
 1955m1,1955,1,-5
 1955m2,1955,2,15
 1955m3,1955,3,3
 1955m4,1955,4,-3
 1955m5,1955,5,13
 1955m6,1955,6,16
 1955m7,1955,7,19
 1955m8,1955,8,15
 1955m9,1955,9,14
1955m10,1955,10,15
1955m11,1955,11,15
1955m12,1955,12,9
 1956m1,1956,1,11
 1956m2,1956,2,12
 1956m3,1956,3,9
 1956m4,1956,4,11
 1956m5,1956,5,18
 1956m6,1956,6,12
 1956m7,1956,7,13
 1956m8,1956,8,11
 1956m9,1956,9,0
1956m10,1956,10,18
1956m11,1956,11,2
1956m12,1956,12,10
 1957m1,1957,1,6
 1957m2,1957,2,-2
 1957m3,1957,3,-1
 1957m4,1957,4,1
 1957m5,1957,5,-12
 1957m6,1957,6,-2
 1957m7,1957,7,1
 1957m8,1957,8,-10
 1957m9,1957,9,-11
1957m10,1957,10,-1
1957m11,1957,11,-12
1957m12,1957,12,-4
 1958m1,1958,1,-17
 1958m2,1958,2,-7
 1958m3,1958,3,-1
 1958m4,1958,4,1
 1958m5,1958,5,-8
 1958m6,1958,6,0
 1958m7,1958,7,2
 1958m8,1958,8,8
 1958m9,1958,9,-3
1958m10,1958,10,-2
1958m11,1958,11,-5
1958m12,1958,12,-7
 1959m1,1959,1,-9
 1959m2,1959,2,-14
 1959m3,1959,3,8
 1959m4,1959,4,4
 1959m5,1959,5,3
 1959m6,1959,6,-6
 1959m7,1959,7,-5
 1959m8,1959,8,-5
 1959m9,1959,9,0
1959m10,1959,10,4
1959m11,1959,11,11
1959m12,1959,12,8
 1960m1,1960,1,0
 1960m2,1960,2,-2
 1960m3,1960,3,6
 1960m4,1960,4,8
 1960m5,1960,5,5
 1960m6,1960,6,-2
 1960m7,1960,7,5
 1960m8,1960,8,7
 1960m9,1960,9,7
1960m10,1960,10,-1
1960m11,1960,11,7
1960m12,1960,12,7
 1961m1,1961,1,-3
 1961m2,1961,2,6
 1961m3,1961,3,-21
 1961m4,1961,4,9
 1961m5,1961,5,1
 1961m6,1961,6,-3
 1961m7,1961,7,2
 1961m8,1961,8,0
 1961m9,1961,9,1
1961m10,1961,10,-5
1961m11,1961,11,7
1961m12,1961,12,14
 1962m1,1962,1,17
 1962m2,1962,2,5
 1962m3,1962,3,-1
 1962m4,1962,4,1
 1962m5,1962,5,12
 1962m6,1962,6,5
 1962m7,1962,7,0
 1962m8,1962,8,5
 1962m9,1962,9,5
1962m10,1962,10,10
1962m11,1962,11,5
1962m12,1962,12,1
 1963m1,1963,1,9
 1963m2,1963,2,3
 1963m3,1963,3,7
 1963m4,1963,4,6
 1963m5,1963,5,3
 1963m6,1963,6,-10
 1963m7,1963,7,-1
 1963m8,1963,8,-2
 1963m9,1963,9,-5
1963m10,1963,10,-13
1963m11,1963,11,-9
1963m12,1963,12,-12
 1964m1,1964,1,-4
 1964m2,1964,2,0
 1964m3,1964,3,8
 1964m4,1964,4,14
 1964m5,1964,5,3
 1964m6,1964,6,7
 1964m7,1964,7,7
 1964m8,1964,8,14
 1964m9,1964,9,14
1964m10,1964,10,13
1964m11,1964,11,3
1964m12,1964,12,-3
 1965m1,1965,1,-4
 1965m2,1965,2,2
 1965m3,1965,3,3
 1965m4,1965,4,-13
 1965m5,1965,5,0
 1965m6,1965,6,-13
 1965m7,1965,7,-23
 1965m8,1965,8,-11
 1965m9,1965,9,-14
1965m10,1965,10,-11
1965m11,1965,11,-18
1965m12,1965,12,2
 1966m1,1966,1,-12
 1966m2,1966,2,-4
 1966m3,1966,3,-14
 1966m4,1966,4,-7
 1966m5,1966,5,-9
 1966m6,1966,6,1
 1966m7,1966,7,-1
 1966m8,1966,8,4
 1966m9,1966,9,-2
1966m10,1966,10,-3
1966m11,1966,11,0
1966m12,1966,12,-4
 1967m1,1967,1,15
 1967m2,1967,2,13
 1967m3,1967,3,8
 1967m4,1967,4,-3
 1967m5,1967,5,-4
 1967m6,1967,6,7
 1967m7,1967,7,2
 1967m8,1967,8,6
 1967m9,1967,9,5
1967m10,1967,10,0
1967m11,1967,11,-4
1967m12,1967,12,-6
 1968m1,1968,1,4
 1968m2,1968,2,10
 1968m3,1968,3,-3
 1968m4,1968,4,-3
 1968m5,1968,5,15
 1968m6,1968,6,12
 1968m7,1968,7,7
 1968m8,1968,8,0
 1968m9,1968,9,-3
1968m10,1968,10,-2
1968m11,1968,11,-3
1968m12,1968,12,2
 1969m1,1969,1,-14
 1969m2,1969,2,-7
 1969m3,1969,3,2
 1969m4,1969,4,-9
 1969m5,1969,5,-7
 1969m6,1969,6,-1
 1969m7,1969,7,-7
 1969m8,1969,8,-4
 1969m9,1969,9,-11
1969m10,1969,10,-12
1969m11,1969,11,0
1969m12,1969,12,4
 1970m1,1970,1,-10
 1970m2,1970,2,-11
 1970m3,1970,3,2
 1970m4,1970,4,-5
 1970m5,1970,5,2
 1970m6,1970,6,10
 1970m7,1970,7,-6
 1970m8,1970,8,4
 1970m9,1970,9,13
1970m10,1970,10,10
1970m11,1970,11,20
1970m12,1970,12,17
 1971m1,1971,1,3
 1971m2,1971,2,16
 1971m3,1971,3,19
 1971m4,1971,4,23
 1971m5,1971,5,9
 1971m6,1971,6,3
 1971m7,1971,7,2
 1971m8,1971,8,15
 1971m9,1971,9,16
1971m10,1971,10,18
1971m11,1971,11,7
1971m12,1971,12,2
 1972m1,1972,1,4
 1972m2,1972,2,8
 1972m3,1972,3,2
 1972m4,1972,4,-6
 1972m5,1972,5,-16
 1972m6,1972,6,-12
 1972m7,1972,7,-19
 1972m8,1972,8,-9
 1972m9,1972,9,-15
1972m10,1972,10,-11
1972m11,1972,11,-3
1972m12,1972,12,-12
 1973m1,1973,1,-3
 1973m2,1973,2,-14
 1973m3,1973,3,1
 1973m4,1973,4,-2
 1973m5,1973,5,3
 1973m6,1973,6,12
 1973m7,1973,7,6
 1973m8,1973,8,12
 1973m9,1973,9,14
1973m10,1973,10,10
1973m11,1973,11,32
1973m12,1973,12,17
 1974m1,1974,1,21
 1974m2,1974,2,16
 1974m3,1974,3,20
 1974m4,1974,4,11
 1974m5,1974,5,11
 1974m6,1974,6,3
 1974m7,1974,7,12
 1974m8,1974,8,7
 1974m9,1974,9,12
1974m10,1974,10,9
1974m11,1974,11,-1
1974m12,1974,12,-1
 1975m1,1975,1,-5
 1975m2,1975,2,5
 1975m3,1975,3,12
 1975m4,1975,4,14
 1975m5,1975,5,6
 1975m6,1975,6,16
 1975m7,1975,7,21
 1975m8,1975,8,21
 1975m9,1975,9,23
1975m10,1975,10,18
1975m11,1975,11,14
1975m12,1975,12,20
 1976m1,1976,1,12
 1976m2,1976,2,13
 1976m3,1976,3,13
 1976m4,1976,4,1
 1976m5,1976,5,2
 1976m6,1976,6,0
 1976m7,1976,7,-13
 1976m8,1976,8,-12
 1976m9,1976,9,-13
1976m10,1976,10,3
1976m11,1976,11,10
1976m12,1976,12,-3
 1977m1,1977,1,-4
 1977m2,1977,2,8
 1977m3,1977,3,-10
 1977m4,1977,4,-10
 1977m5,1977,5,-11
 1977m6,1977,6,-18
 1977m7,1977,7,-15
 1977m8,1977,8,-12
 1977m9,1977,9,-9
1977m10,1977,10,-13
1977m11,1977,11,-15
1977m12,1977,12,-11
 1978m1,1978,1,-3
 1978m2,1978,2,-24
 1978m3,1978,3,-6
 1978m4,1978,4,-8
 1978m5,1978,5,16
 1978m6,1978,6,6
 1978m7,1978,7,6
 1978m8,1978,8,1
 1978m9,1978,9,1
1978m10,1978,10,-6
1978m11,1978,11,-2
1978m12,1978,12,-1
 1979m1,1979,1,-4
 1979m2,1979,2,7
 1979m3,1979,3,-3
 1979m4,1979,4,-6
 1979m5,1979,5,4
 1979m6,1979,6,6
 1979m7,1979,7,-8
 1979m8,1979,8,-5
 1979m9,1979,9,1
1979m10,1979,10,-3
1979m11,1979,11,-5
1979m12,1979,12,-8
 1980m1,1980,1,3
 1980m2,1980,2,1
 1980m3,1980,3,-9
 1980m4,1980,4,-13
 1980m5,1980,5,-4
 1980m6,1980,6,-5
 1980m7,1980,7,-2
 1980m8,1980,8,1
 1980m9,1980,9,-5
1980m10,1980,10,-2
1980m11,1980,11,-3
1980m12,1980,12,-1
 1981m1,1981,1,3
 1981m2,1981,2,-3
 1981m3,1981,3,-17
 1981m4,1981,4,-6
 1981m5,1981,5,8
 1981m6,1981,6,12
 1981m7,1981,7,9
 1981m8,1981,8,6
 1981m9,1981,9,8
1981m10,1981,10,-5
1981m11,1981,11,3
1981m12,1981,12,5
 1982m1,1982,1,9
 1982m2,1982,2,1
 1982m3,1982,3,2
 1982m4,1982,4,-4
 1982m5,1982,5,-8
 1982m6,1982,6,-20
 1982m7,1982,7,-19
 1982m8,1982,8,-24
 1982m9,1982,9,-21
1982m10,1982,10,-20
1982m11,1982,11,-31
1982m12,1982,12,-21
 1983m1,1983,1,-31
 1983m2,1983,2,-33
 1983m3,1983,3,-28
 1983m4,1983,4,-17
 1983m5,1983,5,6
 1983m6,1983,6,-3
 1983m7,1983,7,-8
 1983m8,1983,8,0
 1983m9,1983,9,10
1983m10,1983,10,4
1983m11,1983,11,-1
1983m12,1983,12,0
 1984m1,1984,1,1
 1984m2,1984,2,6
 1984m3,1984,3,-6
 1984m4,1984,4,2
 1984m5,1984,5,0
 1984m6,1984,6,-9
 1984m7,1984,7,2
 1984m8,1984,8,3
 1984m9,1984,9,2
1984m10,1984,10,-5
1984m11,1984,11,4
1984m12,1984,12,-1
 1985m1,1985,1,-4
 1985m2,1985,2,7
 1985m3,1985,3,-2
 1985m4,1985,4,14
 1985m5,1985,5,3
 1985m6,1985,6,-10
 1985m7,1985,7,-2
 1985m8,1985,8,9
 1985m9,1985,9,0
1985m10,1985,10,-6
1985m11,1985,11,-1
1985m12,1985,12,2
 1986m1,1986,1,8
 1986m2,1986,2,-11
 1986m3,1986,3,1
 1986m4,1986,4,1
 1986m5,1986,5,-7
 1986m6,1986,6,11
 1986m7,1986,7,2
 1986m8,1986,8,-8
 1986m9,1986,9,-5
1986m10,1986,10,6
1986m11,1986,11,-14
1986m12,1986,12,-14
 1987m1,1987,1,-6
 1987m2,1987,2,-13
 1987m3,1987,3,-17
 1987m4,1987,4,-24
 1987m5,1987,5,-22
 1987m6,1987,6,-20
 1987m7,1987,7,-19
 1987m8,1987,8,-14
 1987m9,1987,9,-11
1987m10,1987,10,-6
1987m11,1987,11,-1
1987m12,1987,12,-5
 1988m1,1988,1,-1
 1988m2,1988,2,-5
 1988m3,1988,3,2
 1988m4,1988,4,-1
 1988m5,1988,5,10
 1988m6,1988,6,-4
 1988m7,1988,7,11
 1988m8,1988,8,15
 1988m9,1988,9,20
1988m10,1988,10,15
1988m11,1988,11,21
1988m12,1988,12,11
 1989m1,1989,1,13
 1989m2,1989,2,9
 1989m3,1989,3,7
 1989m4,1989,4,21
 1989m5,1989,5,15
 1989m6,1989,6,7
 1989m7,1989,7,9
 1989m8,1989,8,-6
 1989m9,1989,9,6
1989m10,1989,10,7
1989m11,1989,11,-2
1989m12,1989,12,-5
 1990m1,1990,1,-1
 1990m2,1990,2,-17
 1990m3,1990,3,-9
 1990m4,1990,4,-1
 1990m5,1990,5,13
 1990m6,1990,6,1
 1990m7,1990,7,6
 1990m8,1990,8,-5
 1990m9,1990,9,-8
1990m10,1990,10,2
1990m11,1990,11,-5
1990m12,1990,12,-2
 1991m1,1991,1,5
 1991m2,1991,2,1
 1991m3,1991,3,-11
 1991m4,1991,4,-13
 1991m5,1991,5,-19
 1991m6,1991,6,-6
 1991m7,1991,7,-2
 1991m8,1991,8,-8
 1991m9,1991,9,-17
1991m10,1991,10,-13
1991m11,1991,11,-7
1991m12,1991,12,-17
 1992m1,1992,1,-25
 1992m2,1992,2,-9
 1992m3,1992,3,-24
 1992m4,1992,4,-19
 1992m5,1992,5,1
 1992m6,1992,6,-13
 1992m7,1992,7,-7
 1992m8,1992,8,1
 1992m9,1992,9,1
1992m10,1992,10,-17
1992m11,1992,11,-7
1992m12,1992,12,-6
 1993m1,1993,1,-8
 1993m2,1993,2,-8
 1993m3,1993,3,-9
 1993m4,1993,4,-21
 1993m5,1993,5,-8
 1993m6,1993,6,-16
 1993m7,1993,7,-11
 1993m8,1993,8,-14
 1993m9,1993,9,-8
1993m10,1993,10,-14
1993m11,1993,11,1
1993m12,1993,12,2
 1994m1,1994,1,-2
 1994m2,1994,2,1
 1994m3,1994,3,-11
 1994m4,1994,4,-23
 1994m5,1994,5,-13
 1994m6,1994,6,-10
 1994m7,1994,7,-18
 1994m8,1994,8,-17
 1994m9,1994,9,-17
1994m10,1994,10,-14
1994m11,1994,11,-7
1994m12,1994,12,-12
 1995m1,1995,1,-4
 1995m2,1995,2,-3
 1995m3,1995,3,4
 1995m4,1995,4,-16
 1995m5,1995,5,-9
 1995m6,1995,6,-2
 1995m7,1995,7,4
 1995m8,1995,8,1
 1995m9,1995,9,3
1995m10,1995,10,-1
1995m11,1995,11,1
1995m12,1995,12,-6
 1996m1,1996,1,8
 1996m2,1996,2,1
 1996m3,1996,3,6
 1996m4,1996,4,8
 1996m5,1996,5,1
 1996m6,1996,6,14
 1996m7,1996,7,7
 1996m8,1996,8,5
 1996m9,1996,9,7
1996m10,1996,10,4
1996m11,1996,11,0
1996m12,1996,12,7
 1997m1,1997,1,4
 1997m2,1997,2,13
 1997m3,1997,3,-9
 1997m4,1997,4,-16
 1997m5,1997,5,-22
 1997m6,1997,6,-24
 1997m7,1997,7,-10
 1997m8,1997,8,-20
 1997m9,1997,9,-15
1997m10,1997,10,-18
1997m11,1997,11,-15
1997m12,1997,12,-9
 1998m1,1998,1,-24
 1998m2,1998,2,-19
 1998m3,1998,3,-29
 1998m4,1998,4,-24
 1998m5,1998,5,1
 1998m6,1998,6,10
 1998m7,1998,7,15
 1998m8,1998,8,10
 1998m9,1998,9,11
1998m10,1998,10,11
1998m11,1998,11,13
1998m12,1998,12,13
 1999m1,1999,1,16
 1999m2,1999,2,9
 1999m3,1999,3,9
 1999m4,1999,4,19
 1999m5,1999,5,1
 1999m6,1999,6,1
 1999m7,1999,7,5
 1999m8,1999,8,2
 1999m9,1999,9,0
1999m10,1999,10,9
1999m11,1999,11,13
1999m12,1999,12,13
 2000m1,2000,1,5
 2000m2,2000,2,13
 2000m3,2000,3,9
 2000m4,2000,4,17
 2000m5,2000,5,4
 2000m6,2000,6,-6
 2000m7,2000,7,-4
 2000m8,2000,8,5
 2000m9,2000,9,10
2000m10,2000,10,10
2000m11,2000,11,22
2000m12,2000,12,8
 2001m1,2001,1,8
 2001m2,2001,2,12
 2001m3,2001,3,7
 2001m4,2001,4,0
 2001m5,2001,5,-9
 2001m6,2001,6,2
 2001m7,2001,7,-4
 2001m8,2001,8,-8
 2001m9,2001,9,1
2001m10,2001,10,-2
2001m11,2001,11,7
2001m12,2001,12,-9
 2002m1,2002,1,3
 2002m2,2002,2,8
 2002m3,2002,3,-5
 2002m4,2002,4,-4
 2002m5,2002,5,-15
 2002m6,2002,6,-6
 2002m7,2002,7,-8
 2002m8,2002,8,-15
 2002m9,2002,9,-8
2002m10,2002,10,-7
2002m11,2002,11,-6
2002m12,2002,12,-11
 2003m1,2003,1,-2
 2003m2,2003,2,-7
 2003m3,2003,3,-7
 2003m4,2003,4,-6
 2003m5,2003,5,-7
 2003m6,2003,6,-12
 2003m7,2003,7,3
 2003m8,2003,8,-2
 2003m9,2003,9,-2
2003m10,2003,10,-2
2003m11,2003,11,-3
2003m12,2003,12,9
 2004m1,2004,1,-12
 2004m2,2004,2,9
 2004m3,2004,3,0
 2004m4,2004,4,-15
 2004m5,2004,5,13
 2004m6,2004,6,-15
 2004m7,2004,7,-7
 2004m8,2004,8,-8
 2004m9,2004,9,-3
2004m10,2004,10,-4
2004m11,2004,11,-9
2004m12,2004,12,-8
 2005m1,2005,1,2
 2005m2,2005,2,-29
 2005m3,2005,3,0
 2005m4,2005,4,-11
 2005m5,2005,5,-15
 2005m6,2005,6,3
 2005m7,2005,7,1
 2005m8,2005,8,-7
 2005m9,2005,9,4
2005m10,2005,10,11
2005m11,2005,11,-2
2005m12,2005,12,0
 2006m1,2006,1,13
 2006m2,2006,2,0
 2006m3,2006,3,14
 2006m4,2006,4,14
 2006m5,2006,5,-10
 2006m6,2006,6,-6
 2006m7,2006,7,-8
 2006m8,2006,8,-16
 2006m9,2006,9,-6
2006m10,2006,10,-16
2006m11,2006,11,-1
2006m12,2006,12,-4
 2007m1,2007,1,-8
 2007m2,2007,2,-3
 2007m3,2007,3,-1
 2007m4,2007,4,-3
 2007m5,2007,5,-3
 2007m6,2007,6,5
 2007m7,2007,7,-5
 2007m8,2007,8,3
 2007m9,2007,9,1
2007m10,2007,10,5
2007m11,2007,11,9
2007m12,2007,12,14
 2008m1,2008,1,14
 2008m2,2008,2,21
 2008m3,2008,3,12
 2008m4,2008,4,5
 2008m5,2008,5,-4
 2008m6,2008,6,4
 2008m7,2008,7,2
 2008m8,2008,8,9
 2008m9,2008,9,14
2008m10,2008,10,13
2008m11,2008,11,17
2008m12,2008,12,13
 2009m1,2009,1,9
 2009m2,2009,2,15
 2009m3,2009,3,0
 2009m4,2009,4,9
 2009m5,2009,5,-7
 2009m6,2009,6,-2
 2009m7,2009,7,2
 2009m8,2009,8,-5
 2009m9,2009,9,4
2009m10,2009,10,-15
2009m11,2009,11,-6
2009m12,2009,12,-7
 2010m1,2010,1,-10
 2010m2,2010,2,-15
 2010m3,2010,3,-11
 2010m4,2010,4,15
 2010m5,2010,5,10
 2010m6,2010,6,2
 2010m7,2010,7,21
 2010m8,2010,8,19
 2010m9,2010,9,25
2010m10,2010,10,18
2010m11,2010,11,16
2010m12,2010,12,27
 2011m1,2011,1,20
 2011m2,2011,2,22
 2011m3,2011,3,21
 2011m4,2011,4,25
 2011m5,2011,5,2
 2011m6,2011,6,0
 2011m7,2011,7,11
 2011m8,2011,8,2
 2011m9,2011,9,12
2011m10,2011,10,7
2011m11,2011,11,14
2011m12,2011,12,23
 2012m1,2012,1,9
 2012m2,2012,2,3
 2012m3,2012,3,3
 2012m4,2012,4,-7
 2012m5,2012,5,-3
 2012m6,2012,6,-10
 2012m7,2012,7,-2
 2012m8,2012,8,-5
 2012m9,2012,9,3
2012m10,2012,10,2
2012m11,2012,11,4
2012m12,2012,12,-6
 2013m1,2013,1,-1
 2013m2,2013,2,-4
 2013m3,2013,3,11
 2013m4,2013,4,0
 2013m5,2013,5,8
 2013m6,2013,6,14
 2013m7,2013,7,8
 2013m8,2013,8,-1
 2013m9,2013,9,4
2013m10,2013,10,-2
2013m11,2013,11,9
2013m12,2013,12,1
 2014m1,2014,1,12
 2014m2,2014,2,-1
 2014m3,2014,3,-13
 2014m4,2014,4,9
 2014m5,2014,5,4
 2014m6,2014,6,-2
 2014m7,2014,7,-3
 2014m8,2014,8,-11
 2014m9,2014,9,-8
2014m10,2014,10,-8
2014m11,2014,11,-10
2014m12,2014,12,-6
 2015m1,2015,1,-8
 2015m2,2015,2,1
 2015m3,2015,3,-11
 2015m4,2015,4,-4
 2015m5,2015,5,-14
 2015m6,2015,6,-12
 2015m7,2015,7,-15
 2015m8,2015,8,-20
 2015m9,2015,9,-18
2015m10,2015,10,-20
2015m11,2015,11,-5
2015m12,2015,12,-9
 2016m1,2016,1,-20
 2016m2,2016,2,-20
 2016m3,2016,3,-5
 2016m4,2016,4,-22
 2016m5,2016,5,3
 2016m6,2016,6,6
 2016m7,2016,7,4
 2016m8,2016,8,5
 2016m9,2016,9,14
2016m10,2016,10,-4
2016m11,2016,11,-1
2016m12,2016,12,3
 2017m1,2017,1,1
 2017m2,2017,2,-2
 2017m3,2017,3,5
 2017m4,2017,4,-6
 2017m5,2017,5,1
 2017m6,2017,6,-10
 2017m7,2017,7,8
 2017m8,2017,8,3
 2017m9,2017,9,7
2017m10,2017,10,9
2017m11,2017,11,12
2017m12,2017,12,-1
 2018m1,2018,1,9
 2018m2,2018,2,-6
 2018m3,2018,3,11
 2018m4,2018,4,5
 2018m5,2018,5,2
 2018m6,2018,6,-6
 2018m7,2018,7,2
 2018m8,2018,8,-7
 2018m9,2018,9,-10
2018m10,2018,10,3
2018m11,2018,11,0
2018m12,2018,12,9
 2019m1,2019,1,-1
 2019m2,2019,2,-14
 2019m3,2019,3,-7
 2019m4,2019,4,-1
 2019m5,2019,5,-9
 2019m6,2019,6,-10
 2019m7,2019,7,-6
 2019m8,2019,8,-4
 2019m9,2019,9,-12
2019m10,2019,10,-6
2019m11,2019,11,-9
2019m12,2019,12,-6
 2020m1,2020,1,1
 2020m2,2020,2,-2
 2020m3,2020,3,-5
 2020m4,2020,4,-1
 2020m5,2020,5,3
 2020m6,2020,6,-10
 2020m7,2020,7,4
 2020m8,2020,8,10
 2020m9,2020,9,11
2020m10,2020,10,4
2020m11,2020,11,9
2020m12,2020,12,17
 2021m1,2021,1,17
 2021m2,2021,2,12
 2021m3,2021,3,0
 2021m4,2021,4,2
 2021m5,2021,5,4
 2021m6,2021,6,3
 2021m7,2021,7,16
 2021m8,2021,8,5
 2021m9,2021,9,9
2021m10,2021,10,7
2021m11,2021,11,13
2021m12,2021,12,14
 2022m1,2022,1,4
